,0
market_val,50.22410314952698
contract_left_days,9.327230201088593
age_at_transfer,5.1305006282466765
selling_league,2.4184874941818935
yellow_cards,1.2871681822951653
fouls_drawn,1.1909433897205783
short_pass_compl_perc,1.1576097380690533
long_pass_compl_perc,1.1056755192518881
dead_ball_pass,1.049466443758238
aerials_won_perc,0.9480159270089795
shot_creation_ratio,0.944063092345119
transfer_window_idx,0.9154782089651042
minutes_played,0.8895547522106811
errors,0.8713496963749503
pass_compl_perc,0.8675097294302698
touches_att_pen_area,0.8480124560033835
take_ons_success_perc,0.7949346700552241
touches_def_pen_area,0.7883751318289454
medium_pass_compl_perc,0.73657157758961
throw_ins,0.7360888535323573
take_ons_attempted,0.7230671805653254
passes_offside,0.7175913513316575
tackles_won,0.7073990599231454
dribbles_tackeled_perc,0.7007890009451073
tackles_att_3rd,0.6995621795267486
through_balls,0.6994411730200127
assists,0.6870673373113246
total_blocks,0.6861106478427259
clearances,0.6434388400604912
interceptions,0.6272689838084434
aerials_lost,0.6233535027084994
penalty_kicks_won,0.6202583119728788
position,0.5974109071242677
fouls_committed,0.5931666406761655
switches,0.566943407317063
aerials_won,0.5373681430547725
ball_recoveries,0.5355590936272197
total_miscontrols,0.5263464367605732
xA,0.49251928272995327
crosses_into_penalty_area,0.46951371294717875
free_kick_pass,0.46263988787772015
passes_blocked,0.4599665172290812
offsides,0.45513178974015106
touches,0.40763368994990723
penalty_kicks_scored,0.4021837365284507
selling_club,0.3457221578601378
touches_att_3rd,0.34563904280286945
goals,0.3423628263292292
crosses,0.3380084763360313
red_cards,0.3375355454240349
second_yellow_card,0.3247251521293199
corner_kick,0.31807043792075423
penalty_kicks_conceded,0.23780578142548356
touches_def_3rd,0.1937664034483477
own_goals,0.17533292563107616
straight_corner,0.16816159463019864
aerials_won_perc_available,0.0
take_ons_success_perc_available,0.0
tackeled_during_take_on_perc_available,0.0
dribbles_tackeled_perc_available,0.0
pass_compl_perc_available,0.0
short_pass_compl_perc_available,0.0
medium_pass_compl_perc_available,0.0
long_pass_compl_perc_available,0.0
shot_creation_ratio_available,0.0
