selling_club,selling_league,market_val,age_at_transfer,transfer_fee,transfer_window_idx,contract_left_days,position,minutes_played,yellow_cards,red_cards,second_yellow_card,fouls_committed,fouls_drawn,offsides,crosses,interceptions,tackles_won,penalty_kicks_won,penalty_kicks_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_perc,touches,touches_def_pen_area,touches_def_3rd,touches_att_3rd,touches_att_pen_area,take_ons_attempted,take_ons_success_perc,total_miscontrols,tackles_att_3rd,dribbles_tackeled_perc,total_blocks,passes_blocked,clearances,errors,dead_ball_pass,free_kick_pass,through_balls,switches,throw_ins,corner_kick,straight_corner,passes_offside,pass_compl_perc,short_pass_compl_perc,medium_pass_compl_perc,long_pass_compl_perc,assists,xA,crosses_into_penalty_area,goals,penalty_kicks_scored,shot_creation_ratio,aerials_won_perc_available,take_ons_success_perc_available,tackeled_during_take_on_perc_available,dribbles_tackeled_perc_available,pass_compl_perc_available,short_pass_compl_perc_available,medium_pass_compl_perc_available,long_pass_compl_perc_available,shot_creation_ratio_available
110,4,0.5478009305861723,0.25723854607443475,40000000.0,16.0,-0.043684147638153745,0,4.64,3.5,-1.04,-0.68,-0.77,-6.79,-3.88,-6.5,5.9,4.34,-1.15,-1.31,-0.69,-2.05,-0.83,-1.54,-0.14,9.56,2.6,17.34,-9.75,-6.75,-5.19,-0.03,-2.66,0.7,0.15,0.58,4.04,9.58,-1.98,-5.84,2.28,-3.15,-0.51,-4.79,-3.97,-0.82,-1.63,0.78,0.6,0.6,-0.67,-3.16,-5.48,-4.22,-3.69,-1.14,0.6686,1,1,1,1,1,1,1,1,1
144,7,-0.7046912843188073,0.25723854607443475,700000.0,12.0,-0.0776230017008323,4,-12.56,-1.42,-0.88,-0.58,-2.05,-5.31,-0.85,-4.42,-5.24,-1.43,-0.97,-1.11,-0.58,-6.61,-4.36,-6.6,0.18,-8.63,-4.65,-7.07,-4.16,-2.2,-0.13,0.36,-2.6,1.38,0.23,-4.97,-4.35,-3.64,-1.67,-7.95,-6.9,-2.66,-4.57,-4.52,-3.36,-0.7,-3.69,0.52,0.42,0.16,0.53,-2.68,-3.32,-1.25,0.01,-0.96,1.4577,1,1,1,1,1,1,1,1,1
173,6,-0.687841613266274,-0.051349276097767065,1500000.0,10.0,-0.20293569362456856,0,7.31,9.19,11.57,18.39,3.06,-3.99,-3.88,-6.5,6.86,5.36,-1.15,8.54,-0.69,5.27,0.38,-2.19,0.16,8.12,2.86,17.49,-11.37,-6.75,-4.58,0.01,-2.66,-1.87,0.46,-1.42,4.04,13.96,-1.98,-6.07,2.97,-3.15,2.75,-5.4,-3.97,-0.82,-1.63,0.63,0.36,0.56,0.1,-3.16,-4.17,-4.22,-3.69,-1.14,0.5656,1,1,1,1,1,1,1,1,1
83,7,-0.18235148169027326,-0.6685249204421707,13000000.0,16.0,2.6583707719674092,0,-3.58,4.27,-0.88,-0.58,-3.01,-5.31,-3.29,-1.16,-3.33,-4.49,-0.97,-1.11,-0.58,-5.57,-3.14,-1.4,0.2,-3.98,-1.38,0.34,-5.99,-6.87,-5.67,-0.19,-6.37,-3.76,-0.16,-0.97,-0.68,3.17,-1.67,-0.0,-4.81,-2.66,-4.57,5.55,-3.36,-0.7,-3.69,0.71,0.41,0.5,-0.06,-2.68,-2.67,5.74,-3.12,-0.96,0.2781,1,1,1,1,1,1,1,1,1
108,7,-0.5755104729160516,2.725941123452049,4000000.0,4.0,-0.054126871965131766,0,1.69,0.52,-0.48,-0.32,-1.91,0.24,-1.79,-3.43,-0.07,-3.1,-0.53,9.25,-0.32,1.84,3.27,4.78,0.2,3.55,1.63,6.38,-5.77,-4.32,-2.87,-0.03,-3.2,-2.05,0.08,2.66,6.81,6.59,-0.91,-2.77,1.8,-1.45,0.77,-2.63,-1.83,-0.38,-2.01,0.85,0.27,0.81,0.98,-1.46,-2.53,-1.95,-1.7,-0.52,0.335,1,1,1,1,1,1,1,1,1
132,3,-0.35084819221560687,0.25723854607443475,1500000.0,12.0,-1.103620666826423,0,1.08,-2.59,-1.12,-0.74,6.1,-1.0,-4.18,3.2,0.46,8.75,-1.24,-1.42,-0.74,0.93,-0.9,2.29,-0.02,4.31,-4.59,-0.84,3.47,-4.35,-2.18,0.24,-4.95,5.49,-0.02,3.86,-1.86,-1.8,-2.13,14.04,2.35,-3.39,-4.19,22.24,-4.27,-0.89,0.76,0.43,0.23,0.19,0.21,-3.41,-1.96,16.4,-3.97,-1.22,-0.1909,1,1,1,1,1,1,1,1,1
20,0,-0.4631793325658292,0.25723854607443475,12000000.0,10.0,0.9092144471985907,3,-6.49,-2.33,-0.48,-0.32,0.97,-1.63,-1.79,-1.1,-1.99,-0.04,-0.53,-0.61,-0.32,-1.64,-4.04,-1.71,-1.02,-2.74,-2.65,-2.52,-3.18,-2.76,-2.25,0.06,-0.18,3.09,0.08,-1.35,-2.37,-2.65,-0.91,-3.45,-3.07,11.87,-2.5,-2.63,1.8,-0.38,-2.01,-0.19,-0.63,0.27,0.51,-1.46,-1.22,-1.95,-1.7,-0.52,0.2171,1,1,1,1,1,1,1,1,1
21,6,-0.35084819221560687,-1.2857005647865742,30000000.0,1.0,2.279822015114456,4,0.36,-3.37,-1.28,-0.84,3.55,21.75,7.38,-1.68,-1.79,2.27,-1.42,-1.62,-0.85,-1.13,-7.73,-5.64,-0.21,-4.07,-7.78,-10.34,14.39,13.96,21.69,0.6,10.82,-2.9,-0.56,-3.6,-6.33,-9.49,-2.43,-9.72,-8.64,-0.54,-3.39,-5.19,-2.16,-1.01,-2.63,0.0,0.14,0.07,0.24,19.19,17.57,-2.87,7.98,-1.4,0.4712,1,1,1,1,1,1,1,1,1
172,3,-0.40701376239071807,1.18300201259104,1800000.0,10.0,0.8361153769097446,4,-7.97,-5.05,-1.04,-0.68,2.1,-6.79,-3.88,-1.37,-3.67,-5.87,-1.15,-1.31,-0.69,-2.74,-5.1,-5.43,0.01,-7.44,-6.2,-7.58,-0.47,-4.15,-2.73,-0.3,-5.67,-1.87,-0.29,-7.43,-5.14,-7.44,-1.98,-6.53,-7.46,3.52,-3.78,-4.79,4.2,-0.82,-1.63,0.2,0.4,-0.19,-0.01,0.68,0.43,0.43,2.57,-1.14,0.1862,1,1,1,1,1,1,1,1,1
28,5,0.9409599218119507,1.18300201259104,57700000.0,16.0,-1.155834288461313,1,14.39,1.16,-1.52,-1.0,5.95,10.22,13.78,-7.6,-9.49,-2.85,9.49,-1.92,-1.01,-6.83,-3.05,1.3,-0.18,-9.62,-6.71,-12.35,8.97,42.46,4.25,-0.64,19.02,8.92,0.22,8.24,5.35,-5.23,16.13,-11.56,-10.52,5.39,-6.27,-7.72,-5.8,-1.2,-3.64,0.07,0.12,-0.3,-0.11,6.92,2.5,-3.85,25.91,-1.66,2.6531,1,1,1,1,1,1,1,1,1
