player_name,selling_club,selling_league,market_val,age_at_transfer,transfer_fee,transfer_window_idx,contract_left_days
William Bøving,Sturm Graz,Bundesliga,8000000.0,22.0,3500000.0,16.0,299.0
Jonas Omlin,Montpellier,Ligue-1,7000000.0,25.0,9000000.0,13.0,526.0
Fabio Chiarodia,Werder Bremen,Bundesliga,1000000.0,25.0,2000000.0,12.0,360.0
Marvin Friedrich,Union Berlin,Bundesliga,10000000.0,25.0,5500000.0,11.0,169.0
Marvin Friedrich,Augsburg,Bundesliga,3000000.0,23.0,2500000.0,4.0,1085.0
Marvin Friedrich,Union Berlin,Bundesliga,3000000.0,23.0,1000000.0,4.0,725.0
Marvin Friedrich,Augsburg,Bundesliga,500000.0,22.0,300000.0,3.0,518.0
Luca Netz,Hertha BSC,Bundesliga,5000000.0,18.0,2000000.0,8.0,689.0
Yannik Engelhardt,Werder Bremen,Bundesliga,1200000.0,22.0,900000.0,12.0,684.0
Philipp Sander,Holstein Kiel,Bundesliga,3000000.0,26.0,1000000.0,14.0,1090.0
Giovanni Reyna,Dortmund,Bundesliga,7000000.0,22.0,4000000.0,16.0,307.0
Robin Hack,Hoffenheim,Bundesliga,500000.0,20.0,500000.0,4.0,360.0
Franck Honorat,Stade Brestois,Ligue-1,10000000.0,26.0,8000000.0,12.0,1079.0
Franck Honorat,Saint-Étienne,Ligue-1,1600000.0,23.0,5000000.0,6.0,1090.0
Nathan Ngoumou,Toulouse,Ligue-1,2500000.0,22.0,8000000.0,10.0,665.0
Tim Kleindienst,Heidenheim,Bundesliga,6000000.0,28.0,7000000.0,14.0,1090.0
Tim Kleindienst,Freiburg,Bundesliga,1500000.0,25.0,3000000.0,4.0,1028.0
Haris Tabakovic,Austria Vienna,Bundesliga,2200000.0,29.0,500000.0,12.0,694.0
Chrislain Matsima,Monaco,Ligue-1,22000000.0,23.0,5000000.0,16.0,360.0
Cédric Zesiger,Wolfsburg,Bundesliga,7000000.0,25.0,4000000.0,16.0,725.0
Keven Schlotterbeck,Freiburg,Bundesliga,6000000.0,27.0,2500000.0,14.0,684.0
Marius Wolf,Frankfurt,Bundesliga,10000000.0,23.0,5000000.0,2.0,723.0
Marius Wolf,Hannover 96,Bundesliga,10000000.0,23.0,500000.0,2.0,360.0
Kristijan Jakic,Frankfurt,Bundesliga,6500000.0,27.0,5000000.0,14.0,725.0
Han-Noah Massengo,Burnley,Premier-League,5000000.0,25.0,3000000.0,16.0,710.0
Elvis Rexhbecaj,Wolfsburg,Bundesliga,4000000.0,24.0,1700000.0,10.0,333.0
Arne Maier,Hertha BSC,Bundesliga,5500000.0,23.0,5000000.0,10.0,360.0
Anton Kade,Hertha BSC,Bundesliga,750000.0,18.0,750000.0,10.0,360.0
Fabian Rieder,Stade Rennais,Ligue-1,6000000.0,23.0,7000000.0,16.0,664.0
Elias Saad,St. Pauli,Bundesliga,4000000.0,25.0,2000000.0,16.0,684.0
Phillip Tietz,Darmstadt 98,Bundesliga,2700000.0,25.0,2200000.0,12.0,348.0
Frederik Rönnow,Frankfurt,Bundesliga,2500000.0,28.0,1000000.0,8.0,340.0
Matheo Raab,Hamburg,Bundesliga,600000.0,26.0,400000.0,16.0,349.0
Leopold Querfeld,Rapid Vienna,Bundesliga,5000000.0,20.0,3000000.0,14.0,360.0
Diogo Leite,Porto,Primeira-Liga,15000000.0,24.0,7000000.0,12.0,360.0
Stanley Nsoki,Nice,Ligue-1,5000000.0,22.0,6500000.0,8.0,701.0
Stanley Nsoki,PSG,Ligue-1,8500000.0,20.0,12500000.0,4.0,665.0
Tom Rothe,Dortmund,Bundesliga,8000000.0,19.0,5000000.0,14.0,688.0
Woo-yeong Jeong,Stuttgart,Bundesliga,4000000.0,25.0,4000000.0,16.0,360.0
Woo-yeong Jeong,Freiburg,Bundesliga,3500000.0,23.0,3800000.0,12.0,684.0
Andrej Ilic,Lille,Ligue-1,4000000.0,25.0,5000000.0,16.0,725.0
Oliver Burke,West Brom,Premier-League,4800000.0,23.0,6500000.0,6.0,656.0
Oliver Burke,Leipzig,Bundesliga,7000000.0,20.0,15200000.0,0.0,1400.0
Jordan Torunarigha,Hertha BSC,Bundesliga,5000000.0,24.0,3000000.0,10.0,341.0
Silvan Hefti,Genoa,Serie-A,2500000.0,26.0,1500000.0,14.0,691.0
Albert Sambi Lokonga,Arsenal,Premier-League,8000000.0,25.0,300000.0,16.0,299.0
Nicolás Capaldo,Salzburg,Bundesliga,5000000.0,26.0,2100000.0,16.0,350.0
Fábio Vieira,Porto,Primeira-Liga,25000000.0,22.0,35000000.0,10.0,1090.0
Yussuf Poulsen,Leipzig,Bundesliga,5000000.0,25.0,1000000.0,16.0,347.0
Robert Glatzel,Cardiff,Championship,2500000.0,27.0,1000000.0,8.0,360.0
Marvin Schwäbe,Hoffenheim,Bundesliga,700000.0,23.0,700000.0,2.0,360.0
Ron-Robert Zieler,Leicester,Premier-League,7000000.0,28.0,4000000.0,0.0,1079.0
Rav van den Berg,Middlesbrough,Championship,4500000.0,21.0,8000000.0,16.0,682.0
Cenk Özkacar,Lyon,Ligue-1,5000000.0,22.0,5000000.0,12.0,725.0
Dominique Heintz,Freiburg,Bundesliga,3000000.0,28.0,150000.0,11.0,179.0
Luca Kilian,Mainz,Bundesliga,4500000.0,22.0,2000000.0,10.0,725.0
Eric Martel,Leipzig,Bundesliga,3000000.0,20.0,1200000.0,10.0,360.0
Tom Krauß,Leipzig,Bundesliga,7000000.0,25.0,5000000.0,12.0,711.0
Florian Kainz,Werder Bremen,Bundesliga,4000000.0,26.0,3000000.0,5.0,527.0
Marius Bülter,Hoffenheim,Bundesliga,2500000.0,32.0,1000000.0,16.0,330.0
Marius Bülter,Union Berlin,Bundesliga,1700000.0,28.0,800000.0,8.0,360.0
Ragnar Ache,Frankfurt,Bundesliga,1000000.0,24.0,1500000.0,12.0,700.0
Ragnar Ache,Sparta R.,Eredivisie,900000.0,21.0,2000000.0,6.0,360.0
Luca Waldschmidt,Benfica,Primeira-Liga,15000000.0,25.0,12000000.0,8.0,1403.0
Luca Waldschmidt,Freiburg,Bundesliga,16000000.0,24.0,15000000.0,6.0,681.0
David Nemeth,Mainz,Bundesliga,2300000.0,21.0,1300000.0,10.0,725.0
Karol Mets,NAC Breda,Eredivisie,500000.0,25.0,300000.0,5.0,471.0
Fin Stevens,Brentford,Premier-League,450000.0,21.0,600000.0,14.0,1064.0
Jackson Irvine,Burton Albion,Championship,1000000.0,24.0,2150000.0,0.0,665.0
Diant Ramaj,Frankfurt,Bundesliga,750000.0,21.0,5000000.0,12.0,1422.0
Benedikt Gimber,Hoffenheim,Bundesliga,900000.0,21.0,1000000.0,2.0,725.0
Tim Siersleben,Wolfsburg,Bundesliga,1500000.0,23.0,500000.0,12.0,360.0
Jonas Föhrenbach,Freiburg,Bundesliga,750000.0,23.0,500000.0,4.0,360.0
Marnon Busch,Werder Bremen,Bundesliga,300000.0,22.0,100000.0,0.0,360.0
Niklas Dorsch,Augsburg,Bundesliga,4000000.0,26.0,3500000.0,14.0,665.0
Mathias Honsak,Salzburg,Bundesliga,750000.0,22.0,750000.0,4.0,355.0
Mikkel Kaufmann,Union Berlin,Bundesliga,2700000.0,23.0,1250000.0,14.0,684.0
Lucas Chevalier,Lille,Ligue-1,30000000.0,23.0,40000000.0,16.0,686.0
Willian Pacho,Frankfurt,Bundesliga,35000000.0,22.0,40000000.0,14.0,1416.0
Ilya Zabarnyi,Bournemouth,Premier-League,42000000.0,22.0,63000000.0,16.0,1413.0
Nuno Mendes,Sporting,Primeira-Liga,40000000.0,25.0,38000000.0,10.0,1090.0
Lucas Hernández,Bayern Munich,Bundesliga,45000000.0,27.0,45000000.0,12.0,351.0
Lucas Hernández,Atlético,La-Liga,70000000.0,23.0,80000000.0,4.0,1820.0
Achraf Hakimi,Inter,Serie-A,60000000.0,22.0,68000000.0,8.0,1449.0
Achraf Hakimi,Real Madrid,La-Liga,54000000.0,21.0,43000000.0,6.0,664.0
João Neves,Benfica,Primeira-Liga,55000000.0,19.0,65920000.0,14.0,1420.0
Fabián Ruiz,Napoli,Serie-A,55000000.0,26.0,22500000.0,10.0,300.0
Fabián Ruiz,Real Betis,La-Liga,20000000.0,22.0,30000000.0,2.0,1815.0
Kang-in Lee,RCD Mallorca,La-Liga,22000000.0,22.0,22000000.0,12.0,717.0
Bradley Barcola,Lyon,Ligue-1,18000000.0,20.0,45000000.0,12.0,1030.0
Désiré Doué,Stade Rennais,Ligue-1,30000000.0,19.0,50000000.0,14.0,678.0
Ousmane Dembélé,Barcelona,La-Liga,60000000.0,26.0,50000000.0,12.0,318.0
Ousmane Dembélé,Dortmund,Bundesliga,33000000.0,20.0,148000000.0,0.0,1400.0
Gonçalo Ramos,Benfica,Primeira-Liga,50000000.0,22.0,65000000.0,15.0,544.0
Gerónimo Rulli,Ajax,Eredivisie,5000000.0,32.0,4000000.0,14.0,684.0
Gerónimo Rulli,Villarreal,La-Liga,10000000.0,30.0,8000000.0,13.0,539.0
Gerónimo Rulli,Real Sociedad,La-Liga,8000000.0,28.0,5000000.0,6.0,661.0
Gerónimo Rulli,Man City,Premier-League,8000000.0,24.0,7000000.0,1.0,1639.0
Jeffrey de Lange,Go Ahead Eagles,Eredivisie,3000000.0,26.0,2000000.0,14.0,687.0
Rubén Blanco,Celta de Vigo,La-Liga,4000000.0,25.0,1500000.0,12.0,1425.0
Leonardo Balerdi,Dortmund,Bundesliga,8000000.0,22.0,11000000.0,8.0,1087.0
Nayef Aguerd,West Ham,Premier-League,18000000.0,29.0,23000000.0,16.0,664.0
Nayef Aguerd,Stade Rennais,Ligue-1,12000000.0,26.0,35000000.0,10.0,1090.0
Nayef Aguerd,Dijon,Ligue-1,4000000.0,24.0,4000000.0,6.0,316.0
Benjamin Pavard,Bayern Munich,Bundesliga,40000000.0,27.0,31400000.0,12.0,300.0
Emerson,West Ham,Premier-League,10000000.0,25.0,700000.0,16.0,299.0
Emerson,Chelsea,Premier-League,14000000.0,25.0,15400000.0,10.0,672.0
Emerson,Roma,Serie-A,14000000.0,23.0,20000000.0,3.0,1245.0
Ulisses Garcia,Werder Bremen,Bundesliga,400000.0,22.0,800000.0,2.0,360.0
Pol Lirola,Fiorentina,Serie-A,9000000.0,25.0,13000000.0,8.0,1037.0
Pol Lirola,Sassuolo,Serie-A,10000000.0,25.0,11000000.0,6.0,299.0
Pol Lirola,Juventus,Serie-A,5000000.0,20.0,7000000.0,3.0,880.0
Arthur Vermeeren,Atlético,La-Liga,22000000.0,20.0,20000000.0,16.0,1820.0
Pierre-Emile Højbjerg,Tottenham,Premier-League,20000000.0,29.0,13500000.0,16.0,684.0
Pierre-Emile Højbjerg,Southampton,Premier-League,20000000.0,25.0,16600000.000000002,6.0,319.0
Geoffrey Kondogbia,Atlético,La-Liga,14000000.0,30.0,8000000.0,12.0,360.0
Geoffrey Kondogbia,Valencia,La-Liga,17500000.0,27.0,16000000.0,7.0,602.0
Geoffrey Kondogbia,Inter,Serie-A,30000000.0,25.0,22000000.0,2.0,1090.0
Igor Paixão,Feyenoord,Eredivisie,35000000.0,25.0,30000000.0,16.0,1424.0
Hamed Traoré,Sassuolo,Serie-A,22000000.0,23.0,25620000.0,12.0,360.0
Hamed Traoré,FC Empoli,Serie-A,20000000.0,21.0,16000000.0,8.0,360.0
Mason Greenwood,Man Utd,Premier-League,25000000.0,22.0,26000000.0,14.0,342.0
Timothy Weah,Lille,Ligue-1,14000000.0,23.0,11000000.0,12.0,360.0
Timothy Weah,PSG,Ligue-1,6000000.0,19.0,10000000.0,4.0,725.0
Amine Gouiri,Nice,Ligue-1,42000000.0,22.0,28000000.0,10.0,664.0
Amine Gouiri,Lyon,Ligue-1,4000000.0,20.0,7000000.0,6.0,725.0
Neal Maupay,Everton,Premier-League,8000000.0,28.0,4000000.0,16.0,360.0
Neal Maupay,Brighton,Premier-League,18000000.0,25.0,11800000.0,10.0,304.0
Neal Maupay,Brentford,Championship,12000000.0,22.0,15560000.0,4.0,690.0
Neal Maupay,Saint-Étienne,Ligue-1,2000000.0,20.0,2000000.0,0.0,711.0
Pierre-Emerick Aubameyang,Marseille,Ligue-1,5000000.0,35.0,9000000.0,14.0,707.0
Pierre-Emerick Aubameyang,Barcelona,La-Liga,15000000.0,33.0,12000000.0,10.0,1029.0
Pierre-Emerick Aubameyang,Dortmund,Bundesliga,65000000.0,28.0,63750000.0,3.0,1245.0
Philipp Köhn,Salzburg,Bundesliga,4500000.0,25.0,8000000.0,12.0,710.0
Philipp Köhn,Leipzig,Bundesliga,100000.0,20.0,900000.0,2.0,1084.0
Lukas Hradecky,Leverkusen,Bundesliga,2000000.0,35.0,3000000.0,16.0,322.0
Thilo Kehrer,West Ham,Premier-League,10000000.0,27.0,11000000.0,14.0,725.0
Thilo Kehrer,PSG,Ligue-1,22000000.0,25.0,12000000.0,10.0,313.0
Thilo Kehrer,FC Schalke 04,Bundesliga,18000000.0,21.0,37000000.0,2.0,314.0
Rui Silva,Real Betis,La-Liga,7000000.0,31.0,4700000.0,16.0,360.0
Rui Silva,Nacional,Primeira-Liga,1000000.0,22.0,1000000.0,1.0,883.0
Nuno Santos,Rio Ave,Primeira-Liga,4000000.0,25.0,4150000.0000000005,6.0,674.0
Ricardo Mangas,Vit. Guimarães,Primeira-Liga,4000000.0,26.0,2000000.0,14.0,655.0
Ricardo Mangas,Boavista,Primeira-Liga,1500000.0,25.0,900000.0,12.0,356.0
Georgios Vagiannidis,Inter,Serie-A,200000.0,19.0,2000000.0,8.0,1027.0
Morten Hjulmand,Lecce,Serie-A,15000000.0,24.0,19500000.0,12.0,317.0
Morten Hjulmand,Admira Wacker,Bundesliga,700000.0,21.0,2500000.0,9.0,529.0
Hidemasa Morita,Santa Clara,Primeira-Liga,4000000.0,27.0,3450000.0,10.0,725.0
Giorgi Kochorashvili,Levante,La-Liga,5000000.0,25.0,5500000.0,16.0,684.0
Pedro Gonçalves,Famalicão,Primeira-Liga,7000000.0,22.0,13500000.0,6.0,1407.0
Francisco Trincão,Barcelona,La-Liga,15000000.0,23.0,18000000.0,12.0,725.0
Francisco Trincão,Braga,Primeira-Liga,16000000.0,20.0,30940000.0,6.0,1057.0
Luis Suárez,Marseille,Ligue-1,8000000.0,25.0,8000000.0,12.0,1455.0
Luis Suárez,Watford,Championship,7500000.0,22.0,10000000.0,7.0,684.0
Jakub Kiwior,Spezia Calcio,Serie-A,8000000.0,22.0,19500000.0,13.0,887.0
Nehuén Pérez,Udinese,Serie-A,13000000.0,25.0,13300000.0,16.0,725.0
Nehuén Pérez,Atlético,La-Liga,6000000.0,22.0,8000000.0,10.0,1426.0
Jan Bednarek,Southampton,Championship,9000000.0,29.0,7500000.0,16.0,684.0
Francisco Moura,Famalicão,Primeira-Liga,6000000.0,25.0,5000000.0,14.0,1028.0
Francisco Moura,Braga,Primeira-Liga,3500000.0,23.0,1000000.0,12.0,1090.0
Zaidu,Santa Clara,Primeira-Liga,2500000.0,23.0,4000000.0,6.0,665.0
Alberto Costa,Juventus,Serie-A,10000000.0,21.0,15000000.0,16.0,1431.0
Pablo Rosario,Nice,Ligue-1,8000000.0,28.0,3750000.0,16.0,302.0
Pablo Rosario,PSV,Eredivisie,6000000.0,24.0,6000000.0,8.0,698.0
Stephen Eustaquio,Paços Ferreira,Primeira-Liga,5000000.0,25.0,4210000.0,10.0,725.0
Stephen Eustaquio,Chaves,Primeira-Liga,3000000.0,25.0,3500000.0,5.0,1259.0
Gabri Veiga,Celta de Vigo,La-Liga,30000000.0,21.0,30000000.0,12.0,1034.0
Borja Sainz,Norwich,Championship,14000000.0,24.0,13300000.0,16.0,347.0
Yann Karamoh,Inter,Serie-A,7500000.0,22.0,8000000.0,6.0,299.0
Yann Karamoh,SM Caen,Ligue-1,7000000.0,19.0,6500000.0,2.0,725.0
Samu Aghehowa,Atlético,La-Liga,35000000.0,20.0,32000000.0,14.0,1402.0
Samu Aghehowa,Granada CF,La-Liga,200000.0,19.0,6000000.0,12.0,1769.0
Luuk de Jong,Sevilla FC,La-Liga,4000000.0,31.0,3000000.0,10.0,358.0
Luuk de Jong,PSV,Eredivisie,12000000.0,28.0,12500000.0,4.0,725.0
Nicolás Otamendi,Man City,Premier-League,14500000.0,32.0,15000000.0,6.0,636.0
Samuel Dahl,Roma,Serie-A,7000000.0,22.0,9000000.0,16.0,1455.0
Amar Dedić,Salzburg,Bundesliga,12000000.0,22.0,12000000.0,16.0,711.0
Amar Dedić,Marseille,Ligue-1,12000000.0,22.0,100000.0,16.0,684.0
Enzo Barrenechea,Juventus,Serie-A,7500000.0,23.0,8000000.0,14.0,725.0
Fredrik Aursnes,Feyenoord,Eredivisie,12000000.0,26.0,13000000.0,10.0,671.0
Bruma,PSV,Eredivisie,3600000.0,28.0,4250000.0,13.0,525.0
Bruma,Leipzig,Bundesliga,10000000.0,24.0,12000000.0,4.0,1090.0
Dodi Lukébakio,Sevilla FC,La-Liga,20000000.0,27.0,20000000.0,16.0,1029.0
Dodi Lukébakio,Watford,Premier-League,18000000.0,21.0,20000000.0,4.0,1059.0
Vangelis Pavlidis,AZ Alkmaar,Eredivisie,25000000.0,25.0,18000000.0,14.0,360.0
Vangelis Pavlidis,Willem II,Eredivisie,2500000.0,22.0,2500000.0,8.0,351.0
Alaa Bellaarouch,R. Strasbourg,Ligue-1,400000.0,23.0,300000.0,16.0,725.0
Bright Arrey-Mbi,Bayern Munich,Bundesliga,800000.0,20.0,620000.0,12.0,725.0
Paulo Oliveira,Sporting,Primeira-Liga,4000000.0,25.0,4000000.0,0.0,708.0
Vítor Carvalho,Gil Vicente,Primeira-Liga,5000000.0,26.0,2100000.0,12.0,360.0
Rodrigo Zalazar,Frankfurt,Bundesliga,3500000.0,22.0,1500000.0,10.0,360.0
João Moutinho,Monaco,Ligue-1,10000000.0,31.0,5600000.0,2.0,701.0
João Marques,Estoril,Primeira-Liga,3500000.0,22.0,3500000.0,14.0,725.0
Pau Víctor,Barcelona,La-Liga,4000000.0,23.0,12000000.0,16.0,1430.0
Pau Víctor,Girona,La-Liga,1500000.0,22.0,5500000.0,14.0,336.0
Fran Navarro,Porto,Primeira-Liga,6000000.0,27.0,2700000.0,16.0,1090.0
Fran Navarro,Gil Vicente,Primeira-Liga,13000000.0,25.0,7000000.0,12.0,355.0
Ivan Zlobin,Benfica,Primeira-Liga,1200000.0,23.0,1000000.0,6.0,1403.0
Ghislain Konan,Vit. Guimarães,Primeira-Liga,2000000.0,22.0,4000000.0,2.0,1090.0
Pablo,Famalicão,Primeira-Liga,800000.0,21.0,250000.0,16.0,725.0
José Fonte,West Ham,Premier-League,5000000.0,34.0,5570000.0,3.0,492.0
José Fonte,Southampton,Premier-League,6000000.0,25.0,9200000.0,1.0,525.0
Abdu Conté,Moreirense,Primeira-Liga,1500000.0,23.0,2700000.0,11.0,684.0
Tiago Morais,Boavista,Primeira-Liga,2000000.0,20.0,3000000.0,15.0,880.0
Max Svensson,Espanyol,La-Liga,400000.0,22.0,50000.0,14.0,323.0
Cassiano,Estoril,Primeira-Liga,200000.0,25.0,100000.0,14.0,350.0
Cassiano,Vizela,Primeira-Liga,200000.0,33.0,300000.0,10.0,326.0
André Ferreira,Paços Ferreira,Primeira-Liga,900000.0,26.0,750000.0,10.0,705.0
Marcelo,Sporting,Primeira-Liga,3000000.0,29.0,440000.0,5.0,909.0
Kiko Bondoso,Vizela,Primeira-Liga,1000000.0,27.0,800000.0,12.0,298.0
Guilherme Schettine,Braga,Primeira-Liga,900000.0,27.0,400000.0,12.0,719.0
Nélson Oliveira,Norwich,Premier-League,3500000.0,27.0,1000000.0,4.0,340.0
Nico Mantl,Salzburg,Bundesliga,1200000.0,24.0,500000.0,14.0,360.0
Tiago Esgaio,Braga,Primeira-Liga,1000000.0,28.0,200000.0,14.0,360.0
Tiago Esgaio,B SAD,Primeira-Liga,1000000.0,25.0,300000.0,8.0,360.0
Espen van Ee,Heerenveen,Eredivisie,1300000.0,22.0,300000.0,16.0,300.0
Filipe Soares,Moreirense,Primeira-Liga,3500000.0,22.0,2500000.0,11.0,883.0
Sem Steijn,Twente FC,Eredivisie,16000000.0,23.0,10000000.0,16.0,1090.0
Gonçalo Borges,Porto,Primeira-Liga,5000000.0,24.0,10000000.0,16.0,705.0
Casper Tengstedt,Benfica,Primeira-Liga,6000000.0,25.0,6000000.0,16.0,1066.0
Remko Pasveer,PSV,Eredivisie,700000.0,33.0,450000.0,0.0,355.0
Ko Itakura,Mönchengladbach,Bundesliga,12000000.0,28.0,10500000.0,16.0,322.0
Ko Itakura,Man City,Premier-League,5000000.0,25.0,5000000.0,10.0,358.0
Owen Wijndal,AZ Alkmaar,Eredivisie,12000000.0,22.0,10000000.0,10.0,713.0
Youri Regeer,Ajax,Eredivisie,1300000.0,19.0,900000.0,12.0,725.0
Davy Klaassen,Werder Bremen,Bundesliga,12000000.0,27.0,11700000.0,7.0,630.0
Davy Klaassen,Everton,Premier-League,15000000.0,25.0,13500000.0,2.0,1428.0
Davy Klaassen,Ajax,Eredivisie,18000000.0,24.0,27000000.0,0.0,725.0
Oscar Gloukh,Salzburg,Bundesliga,20000000.0,21.0,14750000.0,16.0,694.0
Raúl Moro,Lazio,Serie-A,2500000.0,21.0,2500000.0,14.0,360.0
Steven Berghuis,Feyenoord,Eredivisie,12000000.0,29.0,5500000.0,8.0,344.0
Steven Berghuis,Watford,Premier-League,5500000.0,25.0,6500000.0,0.0,695.0
Kasper Dolberg,Nice,Ligue-1,7000000.0,25.0,5000000.0,12.0,353.0
Kasper Dolberg,Ajax,Eredivisie,18000000.0,21.0,20500000.0,4.0,1031.0
Wout Weghorst,Burnley,Championship,6000000.0,25.0,2380000.0,14.0,301.0
Wout Weghorst,Wolfsburg,Bundesliga,20000000.0,29.0,17500000.0,11.0,515.0
Wout Weghorst,AZ Alkmaar,Eredivisie,7000000.0,25.0,10500000.0,2.0,725.0
Jeroen Zoet,PSV,Eredivisie,5500000.0,29.0,1500000.0,6.0,292.0
Alexandre Penetra,Famalicão,Primeira-Liga,4000000.0,21.0,4200000.0,12.0,1066.0
Sven Mijnans,Sparta R.,Eredivisie,1000000.0,22.0,2500000.0,13.0,515.0
Lequincio Zeefuik,FC Volendam,Eredivisie,500000.0,19.0,500000.0,15.0,149.0
Mike Eerdhuijzen,Sparta R.,Eredivisie,2300000.0,24.0,1300000.0,16.0,360.0
Nick Viergever,PSV,Eredivisie,2000000.0,25.0,300000.0,8.0,300.0
Derry Murkin,FC Volendam,Eredivisie,900000.0,24.0,800000.0,12.0,300.0
Zidane Iqbal,Man Utd,Premier-League,1000000.0,20.0,1000000.0,12.0,684.0
Dani de Wit,Ajax,Eredivisie,1000000.0,21.0,2000000.0,4.0,665.0
Yoann Cathline,FC Lorient,Ligue-1,8000000.0,22.0,2800000.0,16.0,725.0
Miguel Rodríguez,Celta de Vigo,La-Liga,4500000.0,22.0,1250000.0,16.0,1090.0
Sébastien Haller,Ajax,Eredivisie,35000000.0,25.0,31000000.0,10.0,1084.0
Sébastien Haller,West Ham,Premier-League,30000000.0,26.0,22500000.0,9.0,1267.0
Sébastien Haller,Frankfurt,Bundesliga,40000000.0,25.0,50000000.0,4.0,708.0
Sébastien Haller,Utrecht,Eredivisie,8000000.0,25.0,12000000.0,0.0,725.0
Noah Ohio,Leipzig,Bundesliga,700000.0,19.0,1190000.0,10.0,346.0
Robin Pröpper,Twente FC,Eredivisie,3000000.0,30.0,3200000.0,14.0,1059.0
Bas Kuipers,Go Ahead Eagles,Eredivisie,1300000.0,29.0,900000.0,14.0,360.0
Bart van Rooij,NEC Nijmegen,Eredivisie,2000000.0,23.0,900000.0,14.0,307.0
Ramiz Zerrouki,Twente FC,Eredivisie,8000000.0,25.0,7200000.0,12.0,360.0
Thomas van den Belt,Feyenoord,Eredivisie,1800000.0,25.0,1250000.0,16.0,725.0
Thomas van den Belt,PEC Zwolle,Eredivisie,2000000.0,25.0,850000.0,12.0,725.0
Kristian Hlynsson,Ajax,Eredivisie,4000000.0,21.0,1800000.0,16.0,352.0
Sam Lammers,Atalanta,Serie-A,2000000.0,26.0,4099999.9999999995,12.0,725.0
Sam Lammers,PSV,Eredivisie,7000000.0,23.0,8000000.0,6.0,278.0
Ricky van Wolfswinkel,Vitesse,Eredivisie,3500000.0,28.0,3500000.0,0.0,725.0
Pawel Bochniewicz,Udinese,Serie-A,500000.0,23.0,200000.0,4.0,355.0
Joris van Overeem,AZ Alkmaar,Eredivisie,1500000.0,25.0,700000.0,2.0,725.0
Luuk Brouwers,Utrecht,Eredivisie,2000000.0,26.0,875000.0,14.0,1090.0
Luuk Brouwers,Go Ahead Eagles,Eredivisie,1000000.0,24.0,1250000.0,10.0,360.0
Jasper Cillessen,NEC Nijmegen,Eredivisie,1300000.0,35.0,500000.0,14.0,360.0
Jasper Cillessen,Valencia,La-Liga,3000000.0,33.0,1000000.0,10.0,322.0
Jasper Cillessen,Barcelona,La-Liga,18000000.0,30.0,35000000.0,4.0,725.0
Philippe Sandler,PEC Zwolle,Eredivisie,2500000.0,21.0,2500000.0,2.0,330.0
Brayann Pereira,AJ Auxerre,Ligue-1,700000.0,21.0,400000.0,14.0,360.0
Jetro Willems,PSV,Eredivisie,7500000.0,23.0,4500000.0,0.0,339.0
Thomas Ouwejan,AZ Alkmaar,Eredivisie,2500000.0,25.0,2000000.0,10.0,725.0
Vito van Crooij,VVV-Venlo,Eredivisie,1000000.0,22.0,650000.0,2.0,347.0
Tjaronn Chery,QPR,Championship,4500000.0,28.0,2650000.0,1.0,532.0
Bryan Linssen,Feyenoord,Eredivisie,2200000.0,31.0,1300000.0,10.0,349.0
Bryan Linssen,FC Groningen,Eredivisie,2500000.0,26.0,1000000.0,0.0,357.0
Stije Resink,Almere City,Eredivisie,1000000.0,21.0,700000.0,14.0,300.0
Younes Taha,PEC Zwolle,Eredivisie,500000.0,20.0,1200000.0,12.0,725.0
Joris Kramer,NEC Nijmegen,Eredivisie,650000.0,26.0,250000.0,12.0,725.0
Melle Meulensteen,RKC Waalwijk,Eredivisie,800000.0,22.0,1000000.0,10.0,725.0
Evert Linthorst,VVV-Venlo,Eredivisie,800000.0,20.0,600000.0,9.0,514.0
Kenzo Goudmijn,AZ Alkmaar,Eredivisie,1800000.0,22.0,820000.0,14.0,715.0
Joël Drommel,Twente FC,Eredivisie,4000000.0,24.0,3500000.0,8.0,684.0
Bruno Martins Indi,Porto,Primeira-Liga,11000000.0,25.0,7700000.0,0.0,320.0
Patrick van Aanholt,Sunderland,Premier-League,6000000.0,26.0,10500000.0,1.0,1245.0
Jonathan de Guzmán,Napoli,Serie-A,2000000.0,29.0,1000000.0,0.0,350.0
Lance Duijvestijn,Excelsior,Eredivisie,850000.0,26.0,600000.0,16.0,360.0
Lance Duijvestijn,Almere City,Eredivisie,500000.0,25.0,200000.0,15.0,149.0
Mitchell van Bergen,Twente FC,Eredivisie,1500000.0,25.0,500000.0,16.0,677.0
Mitchell van Bergen,Stade Reims,Ligue-1,1200000.0,25.0,1000000.0,12.0,665.0
Mitchell van Bergen,Heerenveen,Eredivisie,2400000.0,25.0,2000000.0,8.0,303.0
Mitchell van Bergen,Vitesse,Eredivisie,300000.0,25.0,500000.0,2.0,665.0
Sherel Floranus,Almere City,Eredivisie,700000.0,25.0,450000.0,14.0,304.0
Ryan Thomas,PEC Zwolle,Eredivisie,3000000.0,23.0,2750000.0,2.0,320.0
Jamiro Monteiro,FC Metz,Ligue-1,1900000.0,26.0,1800000.0,7.0,535.0
Jamiro Monteiro,Heracles Almelo,Eredivisie,1750000.0,24.0,3000000.0,2.0,697.0
Thijs Oosting,Willem II,Eredivisie,700000.0,24.0,1000000.0,14.0,723.0
