player_name,selling_club,selling_league,market_val,age_at_transfer,transfer_fee,transfer_window_idx,contract_left_days
Léo Pétrot,FC Lorient,Ligue-1,1000000.0,25.0,500000.0,10.0,300.0
Martim Neto,Benfica,Primeira-Liga,2500000.0,22.0,1500000.0,16.0,1060.0
Grady Diangana,West Ham,Premier-League,4500000.0,22.0,13500000.0,6.0,1756.0
Germán Valera,Valencia,La-Liga,1500000.0,23.0,100000.0,16.0,1087.0
Germán Valera,Atlético,La-Liga,2000000.0,22.0,25000.0,14.0,665.0
Álvaro Rodríguez,Real Madrid,La-Liga,2500000.0,25.0,2000000.0,16.0,703.0
André Silva,Leipzig,Bundesliga,4000000.0,29.0,1000000.0,16.0,312.0
André Silva,Frankfurt,Bundesliga,45000000.0,25.0,23000000.0,8.0,723.0
André Silva,AC Milan,Serie-A,24000000.0,24.0,3000000.0,6.0,655.0
André Silva,Porto,Primeira-Liga,22000000.0,21.0,38000000.0,0.0,1455.0
Rafa Mir,Wolves,Premier-League,12000000.0,24.0,16000000.0,8.0,310.0
Nikola Maras,UD Almería,La-Liga,1200000.0,27.0,1500000.0,12.0,360.0
Jonny Otto,Atlético,La-Liga,12000000.0,24.0,21000000.0,5.0,1975.0
Jonny Otto,Celta de Vigo,La-Liga,12000000.0,24.0,7000000.0,2.0,335.0
Lucas Boyé,Torino,Serie-A,3500000.0,25.0,3000000.0,8.0,360.0
Toni Martínez,Porto,Primeira-Liga,5000000.0,27.0,2000000.0,14.0,1033.0
Toni Martínez,Famalicão,Primeira-Liga,7000000.0,23.0,3200000.0,7.0,631.0
Mariano Díaz,Lyon,Ligue-1,22000000.0,25.0,21500000.0,2.0,1396.0
Mariano Díaz,Real Madrid,La-Liga,5000000.0,23.0,8000000.0,0.0,1455.0
David Soria,Sevilla FC,La-Liga,4000000.0,25.0,3000000.0,2.0,684.0
Domingos Duarte,Sporting,Primeira-Liga,2500000.0,24.0,3490000.0,4.0,1076.0
Diego Rico,Real Sociedad,La-Liga,1500000.0,31.0,1500000.0,14.0,344.0
Diego Rico,Bournemouth,Championship,4500000.0,28.0,500000.0,8.0,334.0
Diego Rico,CD Leganés,La-Liga,2500000.0,25.0,15000000.0,2.0,1066.0
Kiko Femenía,Watford,Championship,2500000.0,31.0,980000.0,10.0,697.0
Allan Nyom,West Brom,Championship,3000000.0,31.0,3000000.0,4.0,336.0
Mauro Arambarri,G. Bordeaux,Ligue-1,1250000.0,21.0,1000000.0,0.0,1052.0
Juanmi,Real Betis,La-Liga,2000000.0,32.0,1200000.0,16.0,360.0
Juanmi,Real Sociedad,La-Liga,8000000.0,26.0,8000000.0,4.0,725.0
Abu Kamara,Norwich,Championship,600000.0,21.0,5350000.0,14.0,300.0
Borja Mayoral,Real Madrid,La-Liga,9000000.0,25.0,10000000.0,10.0,329.0
David Carmo,Porto,Primeira-Liga,12000000.0,25.0,11000000.0,14.0,1035.0
David Carmo,Braga,Primeira-Liga,15000000.0,22.0,20280000.0,10.0,1085.0
Javi López,Alavés,La-Liga,7500000.0,22.0,6500000.0,14.0,339.0
Álvaro Lemos,Celta de Vigo,La-Liga,300000.0,25.0,300000.0,2.0,1090.0
Leander Dendoncker,Wolves,Premier-League,28000000.0,27.0,15000000.0,10.0,299.0
Santiago Colombatto,Cagliari,Serie-A,1400000.0,22.0,810000.0,4.0,1030.0
Ilyas Chaira,Girona,La-Liga,2500000.0,24.0,1500000.0,16.0,349.0
Josip Brekalo,Wolfsburg,Bundesliga,7500000.0,24.0,1700000.0,13.0,152.0
Ovie Ejaria,Liverpool,Premier-League,3200000.0,22.0,3900000.0,6.0,684.0
Haissem Hassan,Villarreal,La-Liga,2000000.0,22.0,1500000.0,14.0,319.0
Salomón Rondón,West Brom,Championship,15000000.0,29.0,18270000.0,4.0,684.0
Josep Martínez,Genoa,Serie-A,8000000.0,26.0,14000000.0,14.0,351.0
Josep Martínez,Leipzig,Bundesliga,3500000.0,25.0,3500000.0,12.0,360.0
Yann Sommer,Bayern Munich,Bundesliga,5000000.0,34.0,6900000.0,12.0,688.0
Yann Sommer,Mönchengladbach,Bundesliga,5000000.0,34.0,9000000.0,13.0,161.0
Alessandro Bastoni,Atalanta,Serie-A,1500000.0,18.0,31100000.0,0.0,665.0
Yann Bisseck,1.FC Köln,Bundesliga,1000000.0,21.0,1720000.0,10.0,360.0
Manuel Akanji,Dortmund,Bundesliga,30000000.0,27.0,20000000.0,10.0,299.0
Francesco Acerbi,Lazio,Serie-A,4000000.0,35.0,4000000.0,12.0,725.0
Francesco Acerbi,Sassuolo,Serie-A,10000000.0,30.0,12000000.0,2.0,1444.0
Federico Dimarco,Inter,Serie-A,2000000.0,19.0,3910000.0,0.0,360.0
Carlos Augusto,Monza,Serie-A,22000000.0,25.0,13250000.0,14.0,360.0
Denzel Dumfries,PSV,Eredivisie,16000000.0,25.0,14250000.0,8.0,681.0
Denzel Dumfries,Heerenveen,Eredivisie,4000000.0,22.0,5500000.0,2.0,1090.0
Denzel Dumfries,Sparta R.,Eredivisie,1000000.0,21.0,750000.0,0.0,700.0
Matteo Darmian,Man Utd,Premier-League,10000000.0,29.0,2480000.0,4.0,298.0
Hakan Çalhanoğlu,Leverkusen,Bundesliga,20000000.0,23.0,23300000.0,0.0,722.0
Nicolò Barella,Cagliari,Serie-A,50000000.0,23.0,32500000.0,6.0,664.0
Davide Frattesi,Roma,Serie-A,200000.0,17.0,14600000.0,0.0,684.0
Andy Diouf,Lens,Ligue-1,15000000.0,22.0,20000000.0,16.0,1038.0
Andy Diouf,Stade Rennais,Ligue-1,7000000.0,20.0,5500000.0,12.0,725.0
Henrikh Mkhitaryan,Man Utd,Premier-League,35000000.0,25.0,34000000.0,3.0,888.0
Luis Henrique,Marseille,Ligue-1,25000000.0,23.0,22800000.0,16.0,1118.0
Ange-Yoan Bonny,Parma,Serie-A,20000000.0,21.0,23000000.0,16.0,720.0
Michele Di Gregorio,Inter,Serie-A,3800000.0,24.0,6000000.0,10.0,725.0
Mattia Perin,Genoa,Serie-A,16000000.0,25.0,16300000.0,2.0,360.0
Bremer,Torino,Serie-A,35000000.0,25.0,46900000.0,10.0,705.0
Pierre Kalulu,AC Milan,Serie-A,28000000.0,25.0,14300000.0,16.0,725.0
Lloyd Kelly,Newcastle,Premier-League,16000000.0,26.0,17200000.0,16.0,1455.0
Lloyd Kelly,Bristol City,Championship,9000000.0,20.0,14800000.0,4.0,725.0
Juan Cabal,Hellas Verona,Serie-A,3500000.0,23.0,12800000.0,14.0,1072.0
Manuel Locatelli,Sassuolo,Serie-A,30000000.0,25.0,36400000.0,12.0,360.0
Manuel Locatelli,AC Milan,Serie-A,12000000.0,21.0,14000000.0,4.0,360.0
Khéphren Thuram,Nice,Ligue-1,35000000.0,23.0,20600000.0,14.0,350.0
João Mário,Porto,Primeira-Liga,10000000.0,25.0,12600000.0,16.0,701.0
Filip Kostić,Frankfurt,Bundesliga,24000000.0,29.0,14700000.0,10.0,318.0
Teun Koopmeiners,Atalanta,Serie-A,50000000.0,26.0,58400000.0,14.0,1032.0
Teun Koopmeiners,AZ Alkmaar,Eredivisie,16500000.0,23.0,14000000.0,8.0,665.0
Francisco Conceição,Porto,Primeira-Liga,28000000.0,22.0,32000000.0,16.0,1433.0
Francisco Conceição,Ajax,Eredivisie,22000000.0,21.0,10240000.0,14.0,1090.0
Francisco Conceição,Porto,Primeira-Liga,8000000.0,19.0,5070000.0,10.0,339.0
Edon Zhegrova,Lille,Ligue-1,25000000.0,26.0,15500000.0,16.0,299.0
Loïs Openda,Lens,Ligue-1,35000000.0,23.0,40000000.0,12.0,1441.0
Dušan Vlahović,Fiorentina,Serie-A,70000000.0,25.0,83500000.0,11.0,517.0
Arkadiusz Milik,Marseille,Ligue-1,8000000.0,29.0,7300000.0,12.0,725.0
Arkadiusz Milik,Napoli,Serie-A,16000000.0,28.0,9700000.0,10.0,360.0
Alex Meret,Udinese,Serie-A,25000000.0,22.0,26000000.0,4.0,1090.0
Alessandro Buongiorno,Torino,Serie-A,35000000.0,25.0,35000000.0,14.0,1442.0
Sam Beukema,Bologna,Serie-A,28000000.0,26.0,31000000.0,16.0,705.0
Sam Beukema,AZ Alkmaar,Eredivisie,4500000.0,24.0,10880000.0,12.0,1087.0
Sam Beukema,Go Ahead Eagles,Eredivisie,525000.0,22.0,900000.0,8.0,725.0
Amir Rrahmani,Hellas Verona,Serie-A,6000000.0,25.0,15300000.0,7.0,1255.0
Juan Jesus,Inter,Serie-A,7500000.0,25.0,8000000.0,0.0,360.0
Miguel Gutiérrez,Girona,La-Liga,20000000.0,25.0,18000000.0,16.0,676.0
Miguel Gutiérrez,Real Madrid,La-Liga,6000000.0,25.0,11000000.0,10.0,684.0
Mathías Olivera,Getafe,La-Liga,15000000.0,24.0,16500000.0,10.0,1090.0
Leonardo Spinazzola,Juventus,Serie-A,15000000.0,26.0,29500000.0,4.0,1090.0
Pasquale Mazzocchi,Salernitana,Serie-A,4000000.0,28.0,3000000.0,15.0,905.0
Pasquale Mazzocchi,Parma,Serie-A,600000.0,22.0,280000.0,2.0,1081.0
Stanislav Lobotka,Celta de Vigo,La-Liga,20000000.0,25.0,24000000.0,7.0,1260.0
Billy Gilmour,Brighton,Premier-League,18000000.0,23.0,14000000.0,14.0,665.0
Billy Gilmour,Chelsea,Premier-League,12000000.0,21.0,8300000.000000001,10.0,664.0
Scott McTominay,Man Utd,Premier-League,32000000.0,27.0,30500000.0,14.0,300.0
Frank Anguissa,Fulham,Premier-League,30000000.0,26.0,16000000.0,10.0,360.0
Frank Anguissa,Marseille,Ligue-1,18000000.0,22.0,24850000.0,2.0,1051.0
Eljif Elmas,Napoli,Serie-A,24000000.0,24.0,24000000.0,15.0,544.0
Noa Lang,PSV,Eredivisie,25000000.0,26.0,25000000.0,16.0,1073.0
Noa Lang,Ajax,Eredivisie,22000000.0,25.0,6000000.0,8.0,684.0
David Neres,Benfica,Primeira-Liga,25000000.0,27.0,28000000.0,14.0,1039.0
David Neres,Ajax,Eredivisie,20000000.0,24.0,12000000.0,11.0,531.0
Matteo Politano,Inter,Serie-A,30000000.0,27.0,22100000.0,8.0,725.0
Matteo Politano,Sassuolo,Serie-A,30000000.0,25.0,21100000.0,4.0,1090.0
Rasmus Højlund,Atalanta,Serie-A,45000000.0,20.0,77800000.0,12.0,1420.0
Rasmus Højlund,Sturm Graz,Bundesliga,4500000.0,19.0,21000000.0,10.0,1398.0
Romelu Lukaku,Chelsea,Premier-League,30000000.0,31.0,30000000.0,14.0,666.0
Romelu Lukaku,Inter,Serie-A,100000000.0,28.0,113000000.0,8.0,1048.0
Romelu Lukaku,Man Utd,Premier-League,75000000.0,26.0,74000000.0,4.0,1052.0
Romelu Lukaku,Everton,Premier-League,50000000.0,24.0,84700000.0,0.0,715.0
Mike Maignan,Lille,Ligue-1,25000000.0,25.0,16399999.999999998,8.0,360.0
Koni De Winter,Genoa,Serie-A,22000000.0,23.0,20000000.0,16.0,1047.0
Koni De Winter,Juventus,Serie-A,12000000.0,25.0,11000000.0,14.0,725.0
Fikayo Tomori,Chelsea,Premier-League,28000000.0,23.0,35300000.0,8.0,1090.0
Strahinja Pavlović,Salzburg,Bundesliga,25000000.0,23.0,18500000.0,14.0,1060.0
